userId,itemId,rating,timestamp
0,223,1,1409097600
0,281,5,1409097600
0,3759,5,1409097600
0,3321,5,1409097600
0,1282,5,1409443200
0,672,4,1409443200
0,55,5,1409443200
0,136,5,1413417600
0,78,5,1413417600
0,1532,5,1413417600
0,1330,5,1413417600
0,552,5,1413417600
0,1741,5,1413417600
0,114,4,1413417600
0,50,5,1413417600
0,788,5,1413417600
0,3191,5,1413417600
0,40,5,1415318400
0,17,5,1415318400
0,49,3,1415318400
0,236,3,1415318400
0,1546,4,1415318400
0,531,5,1415318400
0,9,5,1415318400
0,246,5,1415318400
0,498,5,1415318400
0,465,5,1415318400
0,110,5,1415318400
0,335,5,1415750400
0,1340,5,1415750400
0,550,5,1415750400
0,120,5,1415750400
0,150,5,1415750400
0,187,4,1416528000
0,96,5,1416873600
0,37,5,1416873600
0,1538,5,1416960000
0,115,5,1416960000
0,4604,5,1418515200
0,2974,5,1420675200
0,1479,3,1422144000
0,422,5,1422144000
0,174,5,1422921600
0,366,3,1422921600
0,653,5,1423526400
0,390,5,1424563200
0,237,5,1424563200
0,108,3,1424563200
0,329,3,1424563200
0,674,5,1424908800
0,1026,5,1424908800
0,247,3,1425427200
0,92,5,1425859200
0,1106,4,1426032000
0,754,5,1428019200
0,11,4,1429056000
0,579,5,1429056000
0,133,4,1429056000
0,6356,3,1429056000
0,44,5,1431043200
0,885,3,1431043200
0,161,5,1431734400
0,3316,5,1431734400
0,1055,4,1431734400
0,500,5,1435017600
0,1377,4,1435017600
0,3020,2,1435017600
0,3182,5,1435017600
0,25,4,1435190400
0,2206,5,1435190400
0,1370,5,1435190400
0,1369,5,1435190400
0,1963,4,1435190400
0,249,5,1435536000
0,1564,5,1435536000
0,1319,4,1435536000
0,225,5,1435536000
0,1247,5,1440115200
0,2721,5,1442361600
0,15,5,1442448000
0,1012,4,1442448000
0,2059,3,1442448000
0,1019,4,1442448000
0,812,4,1442448000
0,3991,4,1442448000
0,3992,4,1442448000
0,716,5,1443744000
0,1041,4,1443744000
0,6465,5,1443744000
0,23,4,1443830400
0,42,4,1443830400
0,1237,5,1443830400
0,3469,4,1443830400
0,1589,5,1443830400
0,4765,5,1443830400
0,255,4,1445299200
0,970,5,1445299200
0,1217,5,1445299200
0,135,4,1453161600
0,777,5,1453161600
0,214,5,1453161600
0,158,4,1454457600
0,3387,5,1454457600
0,298,3,1454457600
0,58,5,1454457600
0,1715,5,1460592000
0,2242,5,1460592000
0,91,3,1461801600
0,172,2,1461801600
0,1939,3,1461801600
0,910,5,1461801600
0,1569,5,1461801600
0,1020,3,1461801600
0,3935,3,1461801600
0,2394,3,1467763200
0,468,3,1467849600
0,1500,5,1467849600
0,1816,5,1468022400
0,477,3,1468022400
0,1823,5,1468022400
0,1213,4,1468022400
0,680,5,1468022400
0,619,3,1468022400
0,960,3,1468022400
0,580,5,1469145600
0,320,5,1469145600
0,1084,3,1469145600
0,6941,5,1469145600
0,331,5,1470009600
0,1122,5,1470009600
0,1987,2,1470009600
0,4749,4,1470009600
0,4781,4,1470009600
0,417,4,1470614400
0,258,4,1471046400
0,796,4,1471046400
0,1379,5,1471046400
0,461,3,1471046400
0,3154,3,1471046400
0,130,5,1472688000
0,637,4,1472688000
0,359,5,1472688000
0,105,5,1472860800
0,8,3,1472860800
0,730,5,1472860800
0,876,4,1472860800
0,576,4,1472860800
0,222,5,1472860800
0,470,5,1472860800
0,570,5,1472860800
0,491,5,1473292800
0,94,5,1473292800
0,447,4,1473292800
0,1309,5,1473379200
0,2760,4,1473465600
0,21,4,1473465600
0,3323,5,1473465600
0,1732,4,1473638400
0,679,5,1473638400
0,883,5,1473638400
0,429,3,1473724800
0,327,5,1473984000
0,81,5,1473984000
0,1230,4,1474416000
0,404,3,1475280000
0,6158,4,1475712000
0,4128,4,1476489600
0,3879,5,1479686400
0,3774,5,1479686400
0,18,5,1480291200
0,776,3,1480291200
1,3316,5,1439856000
1,3465,5,1439856000
1,592,5,1440028800
1,599,4,1440374400
1,4123,5,1441411200
1,978,5,1441929600
1,1732,5,1441929600
1,361,5,1442016000
1,3775,5,1442534400
1,31,5,1442620800
1,7258,5,1443484800
1,982,5,1444176000
1,1968,4,1444867200
1,3696,5,1444867200
1,3929,5,1445644800
1,1041,5,1446163200
1,1259,4,1446768000
1,685,5,1446854400
1,1839,5,1446854400
1,215,5,1446940800
1,1962,5,1447027200
